Hostname,IP
nagios-worker01,10.32.32.43
nagios-worker02,10.32.32.44
nagios-worker03,10.32.32.13
nagios-worker04,10.32.32.19
netcool-db2.evolveip.net,10.32.16.84
netcool-impact-lab.evolveip.net,10.32.18.76
netcool-impact.evolveip.net,10.32.16.81
netcool-network-manager.evolveip.net,10.32.16.85
netcool-networkmanager-lab.evolveip.net,10.32.18.77
netcool-omnibus-lab.evolveip.net,10.32.18.78
netcool-omnibus.evolveip.net,10.32.16.82
netcool-probe-lab.evolveip.net,10.32.18.79
netcool-tip-lab.evolveip.net,10.32.18.75
netcool-tip.evolveip.net,10.32.16.83
nexoss-01.voip.evolveip.net,10.128.3.240
nexoss01.voip.lab.evolveip.net,10.128.3.230
ns1.core,208.89.20.240
ns1.voip.lab,10.128.4.22
ns11.voip,10.128.0.54
ns11.voip.lab,10.128.4.32
ns12.voip,10.128.2.54
ns13.voip,10.128.8.54
ns14.voip,10.128.10.54
ns15.voip.evolveip.net,10.128.0.55
ns16.voip.evolveip.net,10.128.8.55
ns17.voip,10.128.2.55
ns18.voip,10.128.10.55
ns2.core,199.66.103.20
nsoc-apps01.evolveip.net,10.32.32.65
ntp1.core.evolveip.net,10.32.32.35
ntp2.core.evolveip.net,10.32.32.34
orkwebdb-cardionet.evolveip.net,199.116.132.35
osprey-01.voip.evolveip.net,10.128.0.94
osprey-02.voip.evolveip.net,10.128.8.94
osprey-03.voip.evolveip.net,10.128.2.94
osprey-04.voip.evolveip.net,10.128.10.94
osprey01.voip.lab.evolveip.net,10.128.3.231
oss-mysql01.dev.evolveip.net,10.128.3.237
oss-mysql02.dev.evolveip.net,10.128.3.235
ossmosis-db01.voip.evolveip.net,10.132.0.11
partner-prov.evolveip.net,10.160.0.37
personal-portal,10.160.0.35
pftp-01.core,208.89.20.252
philnxswdevqa02.evolveip.net,10.160.0.124
pl-ftp01.evolveip.net,10.160.0.84
prov-dev.evolveip.net,10.160.0.48
prov-manager-01.evolveip.net,10.160.0.60
prov-test.evolveip.net,10.160.0.120
proviso-db.evolveip.net,10.32.16.70
ps1.voip,10.128.0.113
ps1.voip.lab,10.128.4.28
ps11.voip,10.128.0.63
ps11.voip.lab,10.128.4.36
ps12.voip,10.128.8.63
ps2.voip,10.128.8.113
puppet-console01,10.32.32.88
puppet-db01,10.32.32.89
puppet01,10.32.32.87
radius01.voip.evolveip.net,10.32.64.70
radius02.voip.evolveip.net,10.32.64.101
radius03.voip.evolveip.net,10.32.66.70
recorder01.cr.voip.evolveip.net,10.128.1.32
recorder02.cr.voip.evolveip.net,10.128.1.34
recorder03.cr.voip.evolveip.net,10.128.1.35
recorder06.cr.voip.evolveip.net,10.128.1.37
recorder07.cr.voip.evolveip.net,10.128.9.32
recorder08.cr.voip.evolveip.net,10.128.9.33
recorder09.cr.voip.evolveip.net,10.128.1.39
recorder10.cr.voip.evolveip.net,10.128.1.40
redhat-01.evolveip.net,208.89.20.253
relay01.core,10.160.0.18
relay02-wan.core,208.89.20.166
relay02.core,10.160.0.88
relay03.evolveip.net,10.160.4.18
relay04.evolveip.net,10.160.4.88
sac01.core.evolveip.net,10.160.0.51
sap-BW-Prod,192.168.2.48
sap-CRM-DQA,192.168.2.22
sap-CRM-Prod,192.168.2.47
sap-ECC-DB,192.168.2.46
sap-ECC-DEV,192.168.2.25
sap-ECC-Prod,192.168.2.45
sap-ECC-QA,192.168.2.26
sap-bw-dqa,192.168.2.34
sap-prtl-DQA,192.168.2.24
sap-prtl-prd,192.168.2.39
scap01-lab.voip,10.64.10.95
scm01.evolveip.net,10.64.10.97
sipp01.voip.lab.evolveip.net,10.128.4.4
